module_path,category,feature,platform,hex_layer,encapsulation,plugin_applied,source_set,source_set_dir,source_set_dir_rel,platform_set,kotlin_loc,kotlin_files
:feat:users:business:model,feat,users,,business,,libs.plugins.snag.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/feat/users/business/model/src/commonMain,feat/users/business/model/src/commonMain,all,8,1
:feat:users:business:rules,feat,users,,business,,libs.plugins.snag.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/feat/users/business/rules/src/commonMain,feat/users/business/rules/src/commonMain,all,34,1
:feat:users:business:rules,feat,users,,business,,libs.plugins.snag.multiplatform.module,commonTest,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/feat/users/business/rules/src/commonTest,feat/users/business/rules/src/commonTest,,68,1
:feat:users:fe:ports,feat,users,fe,ports,,libs.plugins.snag.frontend.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/feat/users/fe/ports/src/commonMain,feat/users/fe/ports/src/commonMain,frontend,28,2
:lib:configuration:be:api,lib,,be,,api,libs.plugins.snag.backend.module,main,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/lib/configuration/be/api/src/main,lib/configuration/be/api/src/main,backend,20,1
:lib:configuration:common:api,lib,,common,,api,libs.plugins.snag.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/lib/configuration/common/api/src/commonMain,lib/configuration/common/api/src/commonMain,all,9,1
:lib:configuration:fe:api,lib,,fe,,api,libs.plugins.snag.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/lib/configuration/fe/api/src/commonMain,lib/configuration/fe/api/src/commonMain,frontend,22,2
:lib:configuration:fe:api,lib,,fe,,api,libs.plugins.snag.multiplatform.module,jvmMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/lib/configuration/fe/api/src/jvmMain,lib/configuration/fe/api/src/jvmMain,jvm_desktop,4,1
:lib:configuration:fe:api,lib,,fe,,api,libs.plugins.snag.multiplatform.module,mobileMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/lib/configuration/fe/api/src/mobileMain,lib/configuration/fe/api/src/mobileMain,mobile,4,1
:lib:configuration:fe:api,lib,,fe,,api,libs.plugins.snag.multiplatform.module,webMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/lib/configuration/fe/api/src/webMain,lib/configuration/fe/api/src/webMain,web,4,1
:lib:database:fe:test,lib,,fe,,test,libs.plugins.snag.frontend.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/lib/database/fe/test/src/commonMain,lib/database/fe/test/src/commonMain,frontend,65,1
