module_path,category,feature,platform,hex_layer,encapsulation,plugin_applied,source_set,source_set_dir,source_set_dir_rel,platform_set,kotlin_loc,kotlin_files
:feat:authentication:app:model,feat,authentication,,app,,libs.plugins.snag.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/commonize-photo/feat/authentication/app/model/src/commonMain,feat/authentication/app/model/src/commonMain,all,0,0
:feat:authentication:fe:ports,feat,authentication,fe,ports,,libs.plugins.snag.frontend.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/commonize-photo/feat/authentication/fe/ports/src/commonMain,feat/authentication/fe/ports/src/commonMain,frontend,0,0
:feat:authorization:business:model,feat,authorization,,business,,libs.plugins.snag.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/commonize-photo/feat/authorization/business/model/src/commonMain,feat/authorization/business/model/src/commonMain,all,0,0
:feat:clients:app:model,feat,clients,,app,,libs.plugins.snag.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/commonize-photo/feat/clients/app/model/src/commonMain,feat/clients/app/model/src/commonMain,all,0,0
:feat:clients:be:ports,feat,clients,be,ports,,libs.plugins.snag.backend.module,main,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/commonize-photo/feat/clients/be/ports/src/main,feat/clients/be/ports/src/main,backend,0,0
:feat:clients:business:model,feat,clients,,business,,libs.plugins.snag.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/commonize-photo/feat/clients/business/model/src/commonMain,feat/clients/business/model/src/commonMain,all,0,0
:feat:clients:business:rules,feat,clients,,business,,libs.plugins.snag.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/commonize-photo/feat/clients/business/rules/src/commonMain,feat/clients/business/rules/src/commonMain,all,0,0
:feat:clients:business:rules,feat,clients,,business,,libs.plugins.snag.multiplatform.module,commonTest,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/commonize-photo/feat/clients/business/rules/src/commonTest,feat/clients/business/rules/src/commonTest,,0,0
:feat:clients:fe:ports,feat,clients,fe,ports,,libs.plugins.snag.frontend.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/commonize-photo/feat/clients/fe/ports/src/commonMain,feat/clients/fe/ports/src/commonMain,frontend,0,0
:feat:findings:app:model,feat,findings,,app,,libs.plugins.snag.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/commonize-photo/feat/findings/app/model/src/commonMain,feat/findings/app/model/src/commonMain,all,0,0
:feat:findings:be:ports,feat,findings,be,ports,,libs.plugins.snag.backend.module,main,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/commonize-photo/feat/findings/be/ports/src/main,feat/findings/be/ports/src/main,backend,0,0
:feat:findings:business:model,feat,findings,,business,,libs.plugins.snag.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/commonize-photo/feat/findings/business/model/src/commonMain,feat/findings/business/model/src/commonMain,all,0,0
:feat:findings:fe:ports,feat,findings,fe,ports,,libs.plugins.snag.frontend.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/commonize-photo/feat/findings/fe/ports/src/commonMain,feat/findings/fe/ports/src/commonMain,frontend,0,0
:feat:inspections:app:model,feat,inspections,,app,,libs.plugins.snag.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/commonize-photo/feat/inspections/app/model/src/commonMain,feat/inspections/app/model/src/commonMain,all,0,0
:feat:inspections:be:ports,feat,inspections,be,ports,,libs.plugins.snag.backend.module,main,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/commonize-photo/feat/inspections/be/ports/src/main,feat/inspections/be/ports/src/main,backend,0,0
:feat:inspections:business:model,feat,inspections,,business,,libs.plugins.snag.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/commonize-photo/feat/inspections/business/model/src/commonMain,feat/inspections/business/model/src/commonMain,all,0,0
:feat:inspections:fe:ports,feat,inspections,fe,ports,,libs.plugins.snag.frontend.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/commonize-photo/feat/inspections/fe/ports/src/commonMain,feat/inspections/fe/ports/src/commonMain,frontend,0,0
:feat:projects:app:model,feat,projects,,app,,libs.plugins.snag.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/commonize-photo/feat/projects/app/model/src/commonMain,feat/projects/app/model/src/commonMain,all,0,0
:feat:projects:be:ports,feat,projects,be,ports,,libs.plugins.snag.backend.module,main,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/commonize-photo/feat/projects/be/ports/src/main,feat/projects/be/ports/src/main,backend,0,0
:feat:projects:business:model,feat,projects,,business,,libs.plugins.snag.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/commonize-photo/feat/projects/business/model/src/commonMain,feat/projects/business/model/src/commonMain,all,0,0
:feat:projects:business:rules,feat,projects,,business,,libs.plugins.snag.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/commonize-photo/feat/projects/business/rules/src/commonMain,feat/projects/business/rules/src/commonMain,all,0,0
:feat:projects:business:rules,feat,projects,,business,,libs.plugins.snag.multiplatform.module,commonTest,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/commonize-photo/feat/projects/business/rules/src/commonTest,feat/projects/business/rules/src/commonTest,,0,0
:feat:projects:fe:ports,feat,projects,fe,ports,,libs.plugins.snag.frontend.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/commonize-photo/feat/projects/fe/ports/src/commonMain,feat/projects/fe/ports/src/commonMain,frontend,0,0
:feat:reports:be:ports,feat,reports,be,ports,,libs.plugins.snag.backend.module,main,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/commonize-photo/feat/reports/be/ports/src/main,feat/reports/be/ports/src/main,backend,0,0
:feat:reports:business:model,feat,reports,,business,,libs.plugins.snag.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/commonize-photo/feat/reports/business/model/src/commonMain,feat/reports/business/model/src/commonMain,all,0,0
:feat:reports:business:rules,feat,reports,,business,,libs.plugins.snag.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/commonize-photo/feat/reports/business/rules/src/commonMain,feat/reports/business/rules/src/commonMain,all,0,0
:feat:reports:business:rules,feat,reports,,business,,libs.plugins.snag.multiplatform.module,commonTest,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/commonize-photo/feat/reports/business/rules/src/commonTest,feat/reports/business/rules/src/commonTest,,0,0
:feat:reports:fe:ports,feat,reports,fe,ports,,libs.plugins.snag.frontend.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/commonize-photo/feat/reports/fe/ports/src/commonMain,feat/reports/fe/ports/src/commonMain,frontend,0,0
:feat:structures:app:model,feat,structures,,app,,libs.plugins.snag.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/commonize-photo/feat/structures/app/model/src/commonMain,feat/structures/app/model/src/commonMain,all,0,0
:feat:structures:be:ports,feat,structures,be,ports,,libs.plugins.snag.backend.module,main,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/commonize-photo/feat/structures/be/ports/src/main,feat/structures/be/ports/src/main,backend,0,0
:feat:structures:business:model,feat,structures,,business,,libs.plugins.snag.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/commonize-photo/feat/structures/business/model/src/commonMain,feat/structures/business/model/src/commonMain,all,0,0
:feat:structures:fe:ports,feat,structures,fe,ports,,libs.plugins.snag.frontend.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/commonize-photo/feat/structures/fe/ports/src/commonMain,feat/structures/fe/ports/src/commonMain,frontend,0,0
:feat:sync:business:model,feat,sync,,business,,libs.plugins.snag.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/commonize-photo/feat/sync/business/model/src/commonMain,feat/sync/business/model/src/commonMain,all,0,0
:feat:sync:fe:ports,feat,sync,fe,ports,,libs.plugins.snag.frontend.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/commonize-photo/feat/sync/fe/ports/src/commonMain,feat/sync/fe/ports/src/commonMain,frontend,0,0
:feat:users:app:model,feat,users,,app,,libs.plugins.snag.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/commonize-photo/feat/users/app/model/src/commonMain,feat/users/app/model/src/commonMain,all,0,0
:feat:users:be:ports,feat,users,be,ports,,libs.plugins.snag.backend.module,main,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/commonize-photo/feat/users/be/ports/src/main,feat/users/be/ports/src/main,backend,0,0
:feat:users:business:model,feat,users,,business,,libs.plugins.snag.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/commonize-photo/feat/users/business/model/src/commonMain,feat/users/business/model/src/commonMain,all,0,0
:feat:users:business:rules,feat,users,,business,,libs.plugins.snag.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/commonize-photo/feat/users/business/rules/src/commonMain,feat/users/business/rules/src/commonMain,all,0,0
